transaction_id,amount,failure_reason,prior_successful_payments,prior_failed_payments,prior_recovery_attempts,hours_since_failure,active_promise_to_pay,contact_count_last_7_days,is_quiet_hours,action_taken,recovered
LOG-00119,3966.84,card_declined,5,1,0,63.1,True,0,False,wait,0
LOG-00120,9872.3,card_declined,5,1,1,7.6,True,0,True,reminder,0
LOG-00121,2018.24,insufficient_funds,3,0,0,36.8,False,1,False,retry,1
LOG-00122,17288.19,insufficient_funds,6,1,1,8.7,False,0,False,reminder,1
LOG-00123,14037.65,insufficient_funds,4,0,2,58.4,False,0,True,reminder,0
LOG-00124,16469.49,bank_timeout,4,3,1,42.9,False,0,False,reminder,1
LOG-00125,3447.15,expired_card,4,0,1,2.1,False,2,False,reminder,0
LOG-00126,4091.65,card_declined,8,1,1,30.2,False,2,False,reminder,0
LOG-00127,2333.25,insufficient_funds,5,1,2,38.1,False,1,False,payment_link,1
LOG-00128,1885.58,insufficient_funds,4,1,1,28.3,False,0,True,reminder,0
LOG-00129,8443.32,bank_timeout,5,3,0,38.0,False,1,True,retry,1
LOG-00130,4994.68,bank_timeout,4,0,1,3.9,False,3,False,reminder,1
LOG-00131,4903.72,bank_timeout,4,1,1,12.8,False,0,False,reminder,0
LOG-00132,16609.42,expired_card,3,0,1,25.1,False,1,True,reminder,0
LOG-00133,8463.36,insufficient_funds,3,2,2,23.0,True,0,True,wait,1
LOG-00134,7388.86,expired_card,6,1,2,3.7,False,0,True,reminder,0
LOG-00135,7627.51,insufficient_funds,7,5,2,16.2,False,0,False,reminder,0
LOG-00136,2136.1,bank_timeout,5,3,3,13.5,False,1,False,escalate,1
LOG-00137,11200.58,card_declined,5,2,1,18.8,False,1,False,reminder,0
LOG-00138,5378.46,bank_timeout,5,1,1,25.6,False,2,False,reminder,0
LOG-00139,5782.05,network_error,9,2,0,4.5,False,1,False,retry,0
LOG-00140,9809.07,insufficient_funds,5,2,0,52.9,False,0,False,retry,0
LOG-00141,848.55,insufficient_funds,4,1,0,12.8,False,1,False,retry,0
LOG-00142,7334.25,bank_timeout,6,0,2,1.0,False,1,False,reminder,0
LOG-00143,867.3,expired_card,2,0,1,83.0,False,1,False,reminder,0
LOG-00144,13622.95,expired_card,9,1,0,6.8,False,0,False,retry,1
LOG-00145,10406.11,insufficient_funds,2,1,1,63.7,False,1,False,reminder,0
LOG-00146,1788.5,insufficient_funds,7,1,1,4.2,False,0,True,reminder,0
LOG-00147,2582.31,card_declined,8,1,1,0.8,False,2,False,reminder,1
LOG-00148,4950.32,insufficient_funds,2,0,1,2.4,False,0,False,reminder,1
LOG-00149,1815.85,card_declined,3,4,1,8.8,False,0,False,reminder,0
LOG-00150,20556.22,network_error,5,2,0,2.9,False,1,True,retry,1
LOG-00151,1679.72,insufficient_funds,7,2,0,0.6,False,0,False,retry,0
LOG-00152,4473.76,insufficient_funds,7,2,0,23.7,False,1,False,retry,0
LOG-00153,3026.04,expired_card,4,1,3,37.9,False,0,True,reminder,0
LOG-00154,1273.57,expired_card,2,3,1,8.7,False,0,False,reminder,1
LOG-00155,4306.58,network_error,4,0,1,12.0,False,2,False,reminder,0
LOG-00156,5055.98,insufficient_funds,4,2,1,22.6,True,0,False,wait,0
LOG-00157,24004.67,insufficient_funds,8,3,1,20.9,False,0,False,reminder,0
LOG-00158,10297.24,insufficient_funds,4,5,2,45.3,False,1,False,reminder,0
LOG-00159,10257.18,insufficient_funds,6,1,0,40.5,False,1,False,retry,0
LOG-00160,7984.87,insufficient_funds,7,1,0,10.7,False,0,True,retry,1
LOG-00161,6351.79,insufficient_funds,5,3,1,15.2,False,2,False,reminder,1
LOG-00162,3069.22,insufficient_funds,3,1,0,42.2,False,0,False,retry,0
LOG-00163,10734.1,card_declined,2,3,2,0.3,False,1,False,payment_link,1
LOG-00164,5916.58,card_declined,4,0,2,7.7,False,4,False,reminder,1
LOG-00165,3914.61,insufficient_funds,2,3,1,6.0,False,2,True,reminder,0
LOG-00166,4667.75,bank_timeout,4,1,0,28.1,False,0,False,retry,0
LOG-00167,9201.39,insufficient_funds,3,4,0,62.3,True,0,False,wait,0
LOG-00168,14165.33,card_declined,3,0,2,45.7,False,2,False,reminder,0
LOG-00169,1763.09,card_declined,2,0,2,34.1,False,2,False,reminder,0
LOG-00170,22244.96,insufficient_funds,4,0,0,90.3,False,1,False,retry,0
LOG-00171,2113.69,expired_card,2,0,1,6.4,False,1,False,reminder,0
LOG-00172,6839.84,insufficient_funds,1,1,2,53.6,False,0,False,reminder,0
LOG-00173,595.89,card_declined,3,0,0,36.6,False,2,False,retry,0
LOG-00174,4624.28,card_declined,4,2,1,0.6,False,1,False,reminder,0
LOG-00175,2514.94,bank_timeout,6,0,2,0.7,True,1,True,reminder,0
LOG-00176,8006.36,insufficient_funds,4,1,1,27.9,False,0,False,reminder,1
LOG-00177,17324.03,card_declined,4,4,1,23.6,False,0,False,reminder,1
LOG-00178,4874.24,insufficient_funds,3,2,2,28.9,False,1,False,reminder,1
LOG-00179,3788.67,network_error,7,1,1,66.8,False,1,False,reminder,0
LOG-00180,12637.4,card_declined,7,2,3,34.3,True,2,False,reminder,0
LOG-00181,3537.16,network_error,11,1,1,3.7,True,0,False,wait,0
LOG-00182,1235.01,card_declined,3,3,0,60.1,False,2,False,retry,0
LOG-00183,1462.1,card_declined,10,2,1,35.3,False,1,False,reminder,0
LOG-00184,2629.04,bank_timeout,9,1,0,33.8,False,1,False,retry,1
LOG-00185,1957.74,insufficient_funds,2,0,0,37.0,False,2,False,retry,1
LOG-00186,14030.0,card_declined,8,2,0,5.4,False,0,False,retry,0
LOG-00187,5504.77,card_declined,2,1,0,8.9,False,1,False,retry,1
LOG-00188,6902.52,network_error,2,2,0,21.8,False,0,False,retry,1
LOG-00189,59440.96,insufficient_funds,7,1,0,29.7,False,0,True,retry,0
LOG-00190,2285.88,insufficient_funds,3,0,2,1.2,False,1,False,reminder,1
LOG-00191,6231.29,bank_timeout,13,2,1,17.7,False,3,False,reminder,0
LOG-00192,4988.48,insufficient_funds,5,2,1,12.9,True,1,False,wait,1
LOG-00193,2472.69,card_declined,5,0,0,38.7,False,3,False,retry,0
LOG-00194,2015.19,expired_card,4,2,3,4.4,False,0,True,reminder,0
LOG-00195,10605.71,insufficient_funds,3,0,0,14.9,False,3,True,retry,1
LOG-00196,1004.76,bank_timeout,7,1,2,45.5,False,1,False,payment_link,0
LOG-00197,7310.24,insufficient_funds,3,2,2,20.5,False,0,False,reminder,1
LOG-00198,7784.58,insufficient_funds,5,1,1,46.6,False,0,False,reminder,1
LOG-00199,3378.58,expired_card,2,1,1,74.0,False,0,False,reminder,0
LOG-00200,7356.77,insufficient_funds,4,2,1,32.0,False,1,False,reminder,0
LOG-00201,1595.24,network_error,7,1,1,36.6,False,0,False,reminder,0
LOG-00202,4473.89,card_declined,5,1,0,5.0,True,0,True,wait,0
LOG-00203,883.81,bank_timeout,3,3,0,48.2,True,0,False,wait,1
LOG-00204,3014.89,insufficient_funds,3,1,1,2.2,False,0,True,reminder,0
LOG-00205,993.77,bank_timeout,3,1,0,35.3,True,0,False,wait,1
LOG-00206,3581.85,expired_card,5,1,1,9.5,False,1,False,reminder,1
LOG-00207,10459.35,network_error,3,0,0,13.4,False,1,False,retry,1
LOG-00208,4721.61,bank_timeout,4,2,1,30.0,False,0,False,reminder,0
LOG-00209,6120.52,insufficient_funds,11,0,1,43.7,False,0,False,reminder,0
LOG-00210,2638.57,card_declined,1,1,1,27.9,False,0,False,reminder,0
LOG-00211,12030.72,card_declined,3,2,0,10.0,False,1,False,retry,1
LOG-00212,1265.72,network_error,7,2,0,22.8,False,3,False,retry,1
LOG-00213,4117.44,card_declined,8,3,1,3.6,False,0,False,reminder,0
LOG-00214,5892.48,insufficient_funds,5,1,1,56.5,False,1,True,reminder,0
LOG-00215,5227.09,insufficient_funds,12,3,0,10.5,True,1,False,wait,1
LOG-00216,8593.58,insufficient_funds,3,1,2,9.1,False,1,False,payment_link,1
LOG-00217,3625.29,insufficient_funds,4,0,0,57.8,False,0,False,retry,0
LOG-00218,3979.41,expired_card,3,0,1,34.2,False,1,False,reminder,0
LOG-00219,2808.2,card_declined,1,1,0,80.3,True,0,False,retry,0
LOG-00220,6881.72,network_error,11,1,0,14.1,False,0,False,retry,1
LOG-00221,17633.05,network_error,6,0,0,3.7,False,1,False,retry,0
LOG-00222,3485.84,expired_card,2,0,1,50.3,False,0,False,reminder,0
LOG-00223,34549.18,network_error,7,0,1,15.1,True,1,False,reminder,1
LOG-00224,1722.29,bank_timeout,3,0,1,26.5,False,1,True,reminder,0
LOG-00225,15049.3,expired_card,5,1,1,2.3,False,1,False,reminder,1
LOG-00226,3868.03,insufficient_funds,4,0,1,4.7,False,2,True,reminder,0
LOG-00227,3154.64,card_declined,6,1,3,11.7,False,0,False,escalate,1
LOG-00228,2858.12,expired_card,5,0,1,24.5,False,0,True,reminder,0
LOG-00229,8754.58,insufficient_funds,4,2,0,2.0,False,2,False,retry,0
LOG-00230,1136.23,insufficient_funds,4,2,0,56.2,False,0,False,retry,0
LOG-00231,1038.25,expired_card,4,1,1,9.6,False,2,False,reminder,0
LOG-00232,5898.12,card_declined,4,1,2,32.9,False,2,False,reminder,0
LOG-00233,4293.45,card_declined,5,2,0,22.3,False,0,True,retry,0
LOG-00234,8340.08,network_error,8,2,0,4.6,False,0,True,retry,1
LOG-00235,19937.66,insufficient_funds,5,0,1,29.7,False,1,False,reminder,1
LOG-00236,55640.56,network_error,5,2,1,9.6,False,0,False,reminder,0
LOG-00237,1863.44,card_declined,12,0,2,79.8,False,3,False,payment_link,0
LOG-00238,11038.2,expired_card,6,1,1,20.4,True,2,True,wait,1
LOG-00239,29561.61,insufficient_funds,3,1,0,0.1,False,0,False,retry,0
LOG-00240,5634.46,insufficient_funds,5,0,1,54.0,False,2,True,reminder,0
LOG-00241,8112.88,insufficient_funds,5,0,0,8.9,False,0,False,retry,1
LOG-00242,17819.81,card_declined,9,2,1,12.1,False,0,False,reminder,1
LOG-00243,11715.91,bank_timeout,2,1,0,16.3,False,0,False,retry,1
LOG-00244,35989.66,card_declined,4,1,0,21.6,False,0,False,retry,0
LOG-00245,7248.51,insufficient_funds,2,1,0,2.3,True,0,False,retry,1
LOG-00246,5825.64,expired_card,7,2,2,25.6,False,2,True,reminder,1
LOG-00247,379.65,expired_card,3,2,3,24.8,True,0,False,wait,1
LOG-00248,14870.87,card_declined,5,2,1,7.3,False,2,True,reminder,0
LOG-00249,2804.84,card_declined,7,0,1,8.0,False,1,False,reminder,1
LOG-00250,6801.18,expired_card,4,1,0,6.2,False,0,False,retry,1
LOG-00251,6326.16,expired_card,4,0,2,14.5,False,0,False,reminder,0
LOG-00252,7101.14,network_error,7,0,1,8.6,True,1,False,wait,1
LOG-00253,5260.44,expired_card,7,0,0,44.4,False,0,False,retry,1
LOG-00254,4844.82,card_declined,9,0,0,37.8,False,1,False,retry,0
LOG-00255,2509.11,bank_timeout,5,1,1,25.6,False,2,False,reminder,0
LOG-00256,5928.15,card_declined,5,1,0,17.5,False,0,False,retry,1
LOG-00257,2581.83,bank_timeout,5,1,0,102.0,False,0,True,retry,0
LOG-00258,3151.68,card_declined,4,2,1,1.1,False,0,False,reminder,1
LOG-00259,1632.49,insufficient_funds,5,0,1,8.0,False,1,False,reminder,0
LOG-00260,7022.74,expired_card,7,0,1,7.2,False,0,False,reminder,1
LOG-00261,21932.1,insufficient_funds,3,1,1,24.7,False,0,False,reminder,0
LOG-00262,3772.83,bank_timeout,3,0,0,12.0,False,0,False,retry,1
LOG-00263,2531.71,card_declined,6,1,0,2.6,False,0,False,retry,0
LOG-00264,5977.86,expired_card,6,4,0,14.4,False,0,False,retry,0
LOG-00265,3797.31,card_declined,6,1,1,13.1,False,0,False,reminder,0
LOG-00266,1931.51,network_error,4,2,0,76.1,False,0,False,retry,0
LOG-00267,4662.37,insufficient_funds,5,1,0,44.7,False,0,False,retry,1
LOG-00268,5700.01,insufficient_funds,5,1,2,4.2,True,1,False,wait,0
LOG-00269,3046.76,network_error,2,2,2,59.9,False,0,False,reminder,1
LOG-00270,1852.26,card_declined,3,0,1,32.4,False,1,False,reminder,1
LOG-00271,24494.38,card_declined,2,1,0,17.4,True,0,False,retry,0
LOG-00272,2421.64,insufficient_funds,4,1,0,3.7,False,1,False,retry,0
LOG-00273,7795.88,card_declined,3,3,1,2.2,False,0,True,reminder,0
LOG-00274,24742.6,network_error,10,2,2,26.2,False,1,False,reminder,0
LOG-00275,4537.6,expired_card,4,2,0,14.3,False,0,False,retry,0
LOG-00276,5277.96,network_error,2,2,0,1.0,False,0,False,retry,1
LOG-00277,2406.68,insufficient_funds,5,3,0,7.6,False,0,True,retry,0
LOG-00278,2353.68,network_error,10,2,0,85.6,False,2,True,retry,0
LOG-00279,6242.64,insufficient_funds,6,2,0,6.6,False,2,False,retry,0
LOG-00280,3165.01,expired_card,4,1,1,26.3,False,0,False,reminder,0
LOG-00281,5444.84,card_declined,4,1,0,38.5,True,4,False,wait,1
LOG-00282,14364.76,network_error,4,1,0,41.1,False,0,False,retry,0
LOG-00283,7324.5,insufficient_funds,1,2,2,6.8,False,0,True,reminder,0
LOG-00284,8137.25,insufficient_funds,3,1,1,23.8,False,2,True,reminder,0
LOG-00285,30172.17,insufficient_funds,7,0,0,36.2,False,0,False,retry,0
LOG-00286,2518.48,card_declined,4,2,0,5.4,True,1,True,wait,1
LOG-00287,16128.39,card_declined,5,0,2,10.4,False,1,False,reminder,0
LOG-00288,12618.96,insufficient_funds,8,0,0,12.1,False,0,False,retry,1
LOG-00289,2726.38,network_error,3,1,1,14.1,True,1,False,wait,1
LOG-00290,8587.96,insufficient_funds,9,1,1,14.4,False,1,False,reminder,0
LOG-00291,1834.16,insufficient_funds,5,1,1,31.7,False,0,False,reminder,0
LOG-00292,2695.4,insufficient_funds,3,1,2,15.1,False,0,True,payment_link,1
LOG-00293,1052.5,insufficient_funds,4,1,1,8.4,False,1,False,reminder,0
LOG-00294,2394.46,expired_card,5,0,1,4.9,False,2,False,reminder,0
LOG-00295,4196.39,insufficient_funds,7,0,1,4.0,False,2,False,reminder,0
LOG-00296,4340.16,card_declined,4,1,0,15.8,False,1,False,retry,0
LOG-00297,10755.11,network_error,6,0,1,38.9,False,1,False,reminder,1
LOG-00298,2482.26,bank_timeout,10,3,0,51.1,True,0,False,retry,0
LOG-00299,9643.34,card_declined,3,0,3,101.4,False,3,False,escalate,0
LOG-00300,699.38,network_error,7,4,2,61.7,False,2,False,reminder,0
LOG-00301,6195.3,insufficient_funds,6,0,2,3.9,False,0,False,reminder,1
LOG-00302,6302.63,card_declined,4,2,0,1.8,False,1,True,retry,1
LOG-00303,3094.61,network_error,6,3,0,1.8,False,1,False,retry,1
LOG-00304,7725.29,insufficient_funds,6,1,0,22.7,False,0,False,retry,0
LOG-00305,6800.03,insufficient_funds,4,0,0,54.5,False,1,True,retry,1
LOG-00306,5707.2,expired_card,4,0,2,10.1,False,1,False,payment_link,1
LOG-00307,19433.4,network_error,5,1,1,9.4,True,1,False,wait,1
LOG-00308,2800.72,expired_card,6,1,0,13.2,False,0,False,retry,1
LOG-00309,742.21,insufficient_funds,5,0,0,8.9,False,1,False,retry,0
LOG-00310,3716.02,card_declined,4,1,0,30.2,False,0,False,retry,1
LOG-00311,7963.59,insufficient_funds,7,1,3,69.5,False,3,False,escalate,1
LOG-00312,35415.01,bank_timeout,3,3,3,3.2,False,1,True,reminder,0
LOG-00313,3867.2,card_declined,4,3,1,32.2,False,1,True,reminder,1
LOG-00314,1887.2,insufficient_funds,6,1,1,96.3,True,0,True,reminder,0
LOG-00315,1114.8,network_error,3,0,1,113.5,False,0,False,reminder,1
LOG-00316,1154.75,network_error,5,1,1,17.4,False,1,False,reminder,1
LOG-00317,2794.74,expired_card,6,1,0,8.6,True,0,False,wait,1
LOG-00318,1870.23,insufficient_funds,5,1,0,0.8,True,1,False,retry,0
LOG-00319,2063.95,expired_card,6,1,0,33.6,False,2,False,retry,0
LOG-00320,2192.41,expired_card,8,1,2,12.3,False,1,False,payment_link,1
LOG-00321,9362.93,insufficient_funds,3,2,1,52.9,False,0,True,reminder,1
LOG-00322,1297.06,card_declined,4,2,1,1.9,False,0,False,reminder,0
LOG-00323,1353.79,insufficient_funds,6,1,2,35.1,False,0,False,reminder,0
LOG-00324,5686.62,expired_card,7,1,1,1.4,False,0,False,reminder,1
LOG-00325,8030.92,expired_card,3,0,1,1.8,False,0,False,reminder,0
LOG-00326,2587.29,expired_card,9,3,1,12.4,False,1,False,reminder,0
LOG-00327,18511.16,card_declined,7,0,1,7.3,False,1,False,reminder,0
LOG-00328,4139.79,bank_timeout,6,4,0,99.5,False,3,False,retry,0
LOG-00329,2640.24,expired_card,7,2,0,24.0,True,2,False,wait,1
LOG-00330,4331.91,expired_card,7,0,1,3.7,False,2,True,reminder,0
LOG-00331,2995.16,insufficient_funds,2,1,2,0.6,False,0,False,reminder,0
LOG-00332,7546.23,card_declined,7,0,0,2.6,False,0,True,retry,0
LOG-00333,1889.59,network_error,9,0,1,52.1,False,1,False,reminder,0
LOG-00334,17409.65,bank_timeout,7,1,3,48.6,True,0,False,wait,1
LOG-00335,20729.97,insufficient_funds,8,1,2,17.2,False,0,False,reminder,0
LOG-00336,9334.13,network_error,4,2,0,14.7,False,2,False,retry,1
LOG-00337,3475.74,bank_timeout,2,2,1,50.2,True,0,True,wait,1
LOG-00338,1091.02,insufficient_funds,7,2,1,14.6,False,1,False,reminder,0
LOG-00339,28512.87,network_error,6,3,2,67.0,False,2,True,reminder,1
LOG-00340,5985.55,insufficient_funds,9,0,0,3.9,False,0,False,retry,0
LOG-00341,24882.6,insufficient_funds,2,1,1,29.4,False,0,False,reminder,1
LOG-00342,17833.47,expired_card,0,1,2,43.5,True,2,False,wait,0
LOG-00343,2851.72,insufficient_funds,3,1,0,36.2,False,2,False,retry,0
LOG-00344,17173.27,network_error,7,0,2,14.2,False,1,False,payment_link,0
LOG-00345,7438.49,network_error,4,1,0,20.8,False,1,False,retry,1
LOG-00346,1523.18,card_declined,4,0,2,3.1,False,1,True,reminder,0
LOG-00347,3123.8,insufficient_funds,8,0,1,82.3,False,1,False,reminder,1
